tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
226,2018-04-01 22:28:46.435,2018-04-01 22:32:32.816,469,Broadway & W 53 St,40.76344058,-73.98268129,423,W 54 St & 9 Ave,40.76584941,-73.98690506,31300,Subscriber,1952,male,""
8386,2018-05-30 11:55:21.358,2018-05-30 14:15:08.278,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,20817,Customer,1998,female,""
412,2015-09-24 18:33:53,2015-09-24 18:40:45,423,W 54 St & 9 Ave,40.76584941,-73.98690506,523,W 38 St & 8 Ave,40.75466591,-73.99138152,14574,Subscriber,1998,male,""
327,2018-05-10 15:45:00.867,2018-05-10 15:50:28.711,3312,1 Ave & E 94 St,40.7817212,-73.94594,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,28848,Customer,1996,male,""
833,2014-04-28 17:37:14,2014-04-28 17:51:07,361,Allen St & Hester St,40.71605866,-73.99190759,502,Henry St & Grand St,40.714215,-73.981346,16389,Subscriber,1948,male,""
664,2017-07-07 11:50:25,2017-07-07 12:01:29,3370,E 78 St & 2 Ave,40.7727966,-73.95577801,3142,1 Ave & E 62 St,40.7612274,-73.96094022,25228,Subscriber,1950,female,""
559,2014-04-03 17:20:12,2014-04-03 17:29:31,521,8 Ave & W 31 St,40.75044999,-73.99481051,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,19871,Subscriber,1951,male,""
208,2018-02-02 10:04:54.247,2018-02-02 10:08:22.644,262,Washington Park,40.6917823,-73.9737299,243,Fulton St & Rockwell Pl,40.688226,-73.979382,18806,Subscriber,1997,male,""
350,2017-07-20 21:25:40,2017-07-20 21:31:30,3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,223,W 13 St & 7 Ave,40.73781509,-73.99994661,20638,Subscriber,1996,male,""
804,2017-04-02 17:02:08,2017-04-02 17:15:32,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,16743,Subscriber,1941,male,""
517,2016-04-12 15:35:43,2016-04-12 15:44:21,470,W 20 St & 8 Ave,40.74345335,-74.00004031,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,20596,Subscriber,1952,male,""
323,2013-09-25 09:07:01,2013-09-25 09:12:24,2000,Front St & Washington St,40.70255088,-73.98940236,217,Old Fulton St,40.70277159,-73.99383605,20618,Subscriber,1952,male,""
217,2015-09-24 22:19:05,2015-09-24 22:22:42,361,Allen St & Hester St,40.71605866,-73.99190759,263,Elizabeth St & Hester St,40.71729,-73.996375,16701,Subscriber,1918,male,""
146,2018-02-15 19:07:30.155,2018-02-15 19:09:56.429,442,W 27 St & 7 Ave,40.746647,-73.993915,494,W 26 St & 8 Ave,40.74734825,-73.99723551,15122,Subscriber,1951,male,""
625,2016-03-24 13:27:38,2016-03-24 13:38:03,546,E 30 St & Park Ave S,40.74444921,-73.98303529,442,W 27 St & 7 Ave,40.746647,-73.993915,22101,Subscriber,1947,male,""
292,2014-02-22 16:11:51,2014-02-22 16:16:43,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,229,Great Jones St,40.72743423,-73.99379025,19307,Subscriber,1996,female,""
913,2014-06-01 14:35:40,2014-06-01 14:50:53,450,W 49 St & 8 Ave,40.76227205,-73.98788205,474,5 Ave & E 29 St,40.7451677,-73.98683077,14791,Subscriber,1951,male,""
955,2013-10-15 06:14:07,2013-10-15 06:30:02,521,8 Ave & W 31 St,40.75044999,-73.99481051,347,W Houston St & Hudson St,40.72873888,-74.00748842,15671,Subscriber,1949,male,""
210,2015-05-25 15:50:33,2015-05-25 15:54:04,494,W 26 St & 8 Ave,40.74734825,-73.99723551,446,W 24 St & 7 Ave,40.74487634,-73.99529885,19080,Subscriber,1946,male,""
739,2017-10-06 10:56:24,2017-10-06 11:08:44,249,Harrison St & Hudson St,40.71870987,-74.0090009,349,Rivington St & Ridge St,40.71850211,-73.98329859,25066,Subscriber,1996,female,""
1818,2017-04-16 21:23:43,2017-04-16 21:54:01,408,Market St & Cherry St,40.71076228,-73.99400398,408,Market St & Cherry St,40.71076228,-73.99400398,25660,Subscriber,1996,male,""
849,2016-05-08 18:17:10,2016-05-08 18:31:20,519,Pershing Square North,40.751873,-73.977706,280,E 10 St & 5 Ave,40.73331967,-73.99510132,20021,Subscriber,1946,male,""
325,2014-07-16 08:42:02,2014-07-16 08:47:27,442,W 27 St & 7 Ave,40.746647,-73.993915,116,W 17 St & 8 Ave,40.74177603,-74.00149746,20011,Subscriber,1951,male,""
1304,2017-05-19 16:08:36,2017-05-19 16:30:20,251,Mott St & Prince St,40.72317958,-73.99480012,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,28559,Subscriber,1950,female,""
161,2017-05-11 02:40:54,2017-05-11 02:43:36,394,E 9 St & Avenue C,40.72521311,-73.97768752,511,E 14 St & Avenue B,40.72938685,-73.97772429,15932,Subscriber,1996,female,""
277,2017-04-18 18:13:52,2017-04-18 18:18:29,307,Canal St & Rutgers St,40.71427487,-73.98990025,296,Division St & Bowery,40.71413089,-73.9970468,25266,Subscriber,1996,male,""
452,2018-01-19 16:38:32.991,2018-01-19 16:46:05.795,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3459,E 53 St & 3 Ave,40.757632277394428,-73.969305753707886,15749,Subscriber,1951,male,""
772,2015-07-08 12:37:32,2015-07-08 12:50:24,295,Pike St & E Broadway,40.71406667,-73.99293911,342,Columbia St & Rivington St,40.71739973,-73.98016555,17275,Subscriber,1946,male,""
183,2018-04-04 15:25:34.959,2018-04-04 15:28:38.702,3167,Amsterdam Ave & W 73 St,40.779668090073123,-73.980930447578416,3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,30871,Subscriber,1943,male,""
